B00, 0
B01, 0
B07, Trade, 237556.417, 79, B07, S02, 1
B07, Trade, 237874.350, 79, B07, S02, 1
B07, Trade, 237908.200, 79, B07, S04, 1
B07, Trade, 238069.750, 79, B07, S02, 1
B07, Trade, 238232.983, 79, B07, S02, 1
B07, Trade, 238374.717, 79, B07, S03, 1
B07, Trade, 238597.983, 79, B07, S04, 1
B07, Trade, 238707.367, 79, B07, S02, 1
B07, Trade, 239081.833, 79, B07, S03, 1
B07, Trade, 239119.867, 79, B07, S00, 1
B07, Trade, 239342.717, 79, B07, S03, 1
B07, Trade, 239394.233, 77, B07, S03, 1
B07, Trade, 239469.533, 79, B07, S03, 1
B07, Trade, 239479.300, 79, B07, S03, 1
B07, Trade, 239809.967, 79, B07, S03, 1
B07, Trade, 239888.983, 79, B07, S04, 1
B07, Trade, 239965.950, 79, B07, S03, 1
B07, Trade, 240065.867, 79, B07, S03, 1
B07, Trade, 240175.750, 79, B07, S01, 1
B07, Trade, 240232.717, 79, B07, S03, 1
B07, Trade, 240572.467, 79, B07, S04, 1
B07, Trade, 241012.217, 79, B07, S03, 1
B07, Trade, 241166.000, 79, B07, S02, 1
B07, Trade, 241245.183, 79, B07, S04, 1
B07, Trade, 241325.633, 79, B07, S03, 1
B07, Trade, 241438.750, 79, B07, S00, 1
B07, Trade, 241496.383, 79, B07, S02, 1
B07, Trade, 241773.417, 79, B07, S04, 1
B07, Trade, 241916.633, 79, B07, S02, 1
B07, Trade, 242067.483, 79, B07, S01, 1
B07, Trade, 242092.183, 79, B07, S02, 1
B07, Trade, 242205.883, 79, B07, S04, 1
B07, Trade, 242332.400, 79, B07, S04, 1
B07, Trade, 242660.500, 79, B07, S02, 1
B07, Trade, 242897.200, 79, B07, S02, 1
B07, Trade, 243115.367, 79, B07, S06, 1
B07, Trade, 243162.950, 79, B07, S02, 1
B07, Trade, 243332.383, 79, B07, S07, 1
B07, Trade, 243435.567, 79, B07, S06, 1
B07, Trade, 243501.000, 77, B07, S04, 1
B07, Trade, 243541.633, 79, B07, S04, 1
B07, Trade, 243548.400, 79, B07, S03, 1
