B00, 1
B06, Trade, 236089.767, 194, B06, S04, 1
B06, Trade, 236255.733, 195, B06, S03, 1
B06, Trade, 236559.100, 189, S03, B06, 1
B06, Trade, 236564.083, 196, B06, S05, 1
B06, Trade, 236634.000, 196, B06, S05, 1
B06, Trade, 237132.467, 195, B06, S02, 1
B06, Trade, 237243.783, 193, B06, S03, 1
B06, Trade, 237327.850, 196, B06, S05, 1
B06, Trade, 237359.617, 196, B06, S02, 1
B06, Trade, 237492.517, 196, B06, S05, 1
B06, Trade, 237534.017, 196, B06, S04, 1
B06, Trade, 244849.017, 194, B06, S03, 1
B06, Trade, 245962.133, 190, S03, B06, 1
B06, Trade, 246562.317, 195, B06, S03, 1
B06, Trade, 246567.417, 192, B06, S03, 1
B06, Trade, 246656.367, 193, B06, S03, 1
B06, Trade, 247583.383, 194, B06, S01, 1
B06, Trade, 247912.233, 193, B06, S01, 1
B06, Trade, 247942.717, 196, B06, S02, 1
B06, Trade, 248039.150, 196, B06, S03, 1
B06, Trade, 248463.800, 196, B06, S02, 1
B06, Trade, 249200.967, 193, B06, S03, 1
B06, Trade, 249290.133, 188, S03, B06, 1
B06, Trade, 249459.167, 185, S02, B06, 1
B06, Trade, 249516.233, 196, B06, S01, 1
B06, Trade, 249714.900, 196, B06, S03, 1
B06, Trade, 249966.917, 195, B06, S01, 1
B06, Trade, 250236.417, 194, B06, S03, 1
B06, Trade, 250245.550, 194, B06, S03, 1
B06, Trade, 250418.750, 196, B06, S03, 1
B06, Trade, 250452.083, 193, B06, S03, 1
B06, Trade, 250549.517, 191, B06, S03, 1
B06, Trade, 250927.500, 195, B06, S02, 1
B06, Trade, 251055.717, 191, B06, S01, 1
B06, Trade, 251729.167, 188, S03, B06, 1
B06, Trade, 252258.183, 185, S02, B06, 1
B06, Trade, 252616.450, 189, S03, B06, 1
B06, Trade, 252695.433, 194, B06, S03, 1
B06, Trade, 253195.250, 194, B06, S02, 1
B06, Trade, 253331.933, 187, S02, B06, 1
B06, Trade, 253983.317, 193, B06, S02, 1
B06, Trade, 254333.917, 196, B06, S03, 1
B06, Trade, 255061.817, 196, B06, S02, 1
B06, Trade, 255626.133, 195, B06, S03, 1
B06, Trade, 258338.583, 196, B06, S02, 1
B07, 100
B07, Trade, 232769.000, 199, B07, S04, 1
B07, Trade, 232910.617, 197, B07, S03, 1
B07, Trade, 234944.400, 197, B07, S05, 1
B07, Trade, 238542.950, 199, B07, S03, 1
B07, Trade, 240849.183, 199, B07, S01, 1
B07, Trade, 241558.250, 197, B07, S03, 1
B07, Trade, 241783.733, 199, B07, S01, 1
B07, Trade, 241932.000, 198, B07, S03, 1
B07, Trade, 241945.583, 198, B07, S02, 1
B07, Trade, 245055.733, 189, B07, S03, 1
B07, Trade, 245530.783, 197, B07, S01, 1
B07, Trade, 245996.217, 194, B07, S02, 1
B07, Trade, 246061.367, 198, B07, S02, 1
B07, Trade, 246686.017, 194, B07, S01, 1
B07, Trade, 246984.083, 194, S02, B07, 1
B07, Trade, 247017.567, 194, B07, S02, 1
B07, Trade, 247507.817, 193, B07, S03, 1
B07, Trade, 247848.183, 198, B07, S01, 1
B07, Trade, 247997.067, 196, B07, S03, 1
B07, Trade, 248456.917, 199, B07, S02, 1
B07, Trade, 248481.700, 199, B07, S02, 1
B07, Trade, 248978.783, 197, B07, S03, 1
B07, Trade, 249021.017, 196, B07, S03, 1
B07, Trade, 249078.300, 191, B07, S03, 1
B07, Trade, 249327.483, 199, B07, S03, 1
B07, Trade, 249485.167, 198, B07, S03, 1
B07, Trade, 249866.917, 197, B07, S03, 1
B07, Trade, 250178.533, 191, B07, S03, 1
B07, Trade, 250400.667, 193, B07, S03, 1
B07, Trade, 250635.400, 196, B07, S01, 1
B07, Trade, 250720.267, 197, B07, S02, 1
B07, Trade, 250978.733, 194, B07, S03, 1
B07, Trade, 251113.000, 192, B07, S01, 1
B07, Trade, 251162.633, 194, B07, S03, 1
B07, Trade, 251280.100, 192, B07, S03, 1
B07, Trade, 251370.383, 199, B07, S03, 1
B07, Trade, 251828.433, 195, B07, S03, 1
B07, Trade, 252075.850, 196, B07, S02, 1
B07, Trade, 252229.283, 198, B07, S03, 1
B07, Trade, 252268.733, 198, B07, S03, 1
B07, Trade, 252422.300, 199, B07, S01, 1
B07, Trade, 252434.100, 197, B07, S03, 1
B07, Trade, 252448.750, 193, B07, S02, 1
B07, Trade, 252501.267, 198, B07, S02, 1
B07, Trade, 252668.950, 199, B07, S02, 1
B07, Trade, 252705.233, 198, B07, S04, 1
B07, Trade, 253020.483, 195, B07, S03, 1
B07, Trade, 253188.150, 198, B07, S02, 1
B07, Trade, 253194.617, 199, B07, S04, 1
B07, Trade, 253238.950, 199, B07, S05, 1
B07, Trade, 253249.667, 199, B07, S02, 1
B07, Trade, 253262.850, 199, B07, S03, 1
B07, Trade, 253544.567, 199, B07, S02, 1
B07, Trade, 253747.217, 199, B07, S02, 1
B07, Trade, 253762.467, 193, B07, S03, 1
B07, Trade, 253852.600, 199, B07, S03, 1
