,0,1
590,,0.031389
591,,0.041389
592,,0.0
593,,0.001944
594,,0.003333
595,,0.002222
596,,0.002222
597,,0.000278
598,,0.0
599,,0.0
600,0.0,
601,0.0,
602,0.0,
603,0.0,
604,0.0,
605,0.0,
606,0.000972,
607,0.0,
608,0.003056,
609,0.010417,
610,0.02,
611,0.008611,
612,0.055417,
613,0.035,
614,0.468059,
615,0.099167,
616,0.378197,
617,0.678338,
618,0.376808,
619,1.126813,
620,0.980701,
621,1.56015,
622,2.066264,
623,1.687928,
624,2.24946,
625,1.882096,
626,3.302523,
627,3.419052,
628,3.58933,
629,4.730172,
630,7.408801,
631,,4.68156
632,,6.516573
633,,2.799603
634,,5.373232
635,,2.602379
636,,1.69404
637,,0.513754
638,,2.456823
639,,1.151397
640,,2.916965
641,,0.635977
642,,0.525143
643,,1.377926
644,,1.425427
645,,0.747227
646,,1.00084
647,,0.036111
648,,0.058195
649,,0.011945
650,,0.036945
651,,0.044861
652,,0.0
653,,0.000972
654,,0.002361
655,,0.001111
656,,0.002083
657,,0.000139
658,,0.0
659,,0.0
660,0.0,
661,0.0,
662,0.0,
663,0.0,
664,0.0,
665,0.0,
666,0.0,
667,0.000278,
668,0.000556,
669,0.0025,
670,0.005,
671,0.010556,
672,0.006111,
673,0.008611,
674,0.10778,
675,0.026389,
676,0.357507,
677,0.154725,
678,0.738069,
679,0.441953,
680,1.49725,
681,0.692791,
682,2.27532,
683,1.160855,
684,1.566418,
685,1.834201,
686,2.933943,
687,3.494509,
688,3.916739,
689,3.530621,
690,4.734532,
691,,4.87759
692,,5.625382
693,,5.655383
694,,6.184559
695,,4.095354
696,,2.073927
697,,1.615585
698,,4.982592
699,,3.710346
700,,2.335877
701,,1.020574
702,,0.141669
703,,1.410304
704,,0.101391
705,,0.033056
706,,0.27445
707,,1.168077
708,,0.129725
709,,0.334451
710,,0.058612
711,,0.203337
712,,0.0
713,,0.037778
714,,0.000833
715,,0.0
716,,0.0
717,,0.000556
718,,0.0
719,,0.0
720,0.0,
721,0.0,
722,0.0,
723,0.0,
724,0.0,
725,0.0,
726,0.0,
727,0.000139,
728,0.000278,
729,0.00125,
730,0.003472,
731,0.009583,
732,0.012639,
733,0.009445,
734,0.113751,
735,0.034028,
736,0.389031,
737,0.159585,
738,0.747785,
739,0.468477,
740,1.525153,
741,0.690423,
742,2.216826,
743,1.150983,
744,1.566681,
745,1.807656,
746,2.890443,
747,3.575866,
748,3.954342,
749,3.640311,
750,4.556153,
751,,4.946712
752,,5.80047
753,,5.641163
754,,6.187974
755,,4.117816
756,,2.109464
757,,1.687793
758,,5.026713
759,,3.655589
760,,2.274327
761,,1.056954
762,,0.140001
763,,1.390707
764,,0.091668
765,,0.054862
766,,0.265697
767,,1.169177
768,,0.122501
769,,0.35542
770,,0.053473
771,,0.204307
772,,0.0
773,,0.035695
774,,0.0025
775,,0.000694
776,,0.0
777,,0.000694
778,,0.0
779,,0.0
780,0.0,
781,0.0,
782,0.0,
783,0.0,
784,0.0,
785,0.0,
786,0.001111,
787,0.0,
788,0.0,
789,0.001389,
790,0.007778,
791,0.0,
792,0.001389,
793,0.005278,
794,0.159447,
795,0.044445,
796,0.047501,
797,0.357784,
798,0.506398,
799,0.508065,
800,1.216411,
801,0.811126,
802,0.401119,
803,1.216411,
804,1.650586,
805,2.270598,
806,2.502824,
807,2.864497,
808,2.848386,
809,3.070335,
810,5.278153,
811,,6.052612
812,,1.562807
813,,6.411508
814,,5.868998
815,,1.092242
816,,2.763662
817,,2.892831
818,,0.396952
819,,2.403656
820,,2.810885
821,,1.258357
822,,0.206115
823,,1.41586
824,,0.705569
825,,0.48862
826,,0.056112
827,,1.064742
828,,0.228615
829,,0.06139
830,,0.100557
831,,0.487231
832,,0.040834
833,,0.133336
834,,0.004445
835,,0.0025
836,,0.010834
837,,0.0
838,,0.0
839,,0.0
840,0.0,
841,0.0,
842,0.0,
843,0.0,
844,0.0,
845,0.0,
846,0.000556,
847,0.0,
848,0.0,
849,0.00125,
850,0.008056,
851,0.000972,
852,0.003333,
853,0.005556,
854,0.15889,
855,0.053612,
856,0.046667,
857,0.375837,
858,0.510283,
859,0.543894,
860,1.242095,
861,0.842091,
862,0.46931,
863,1.24265,
864,1.589876,
865,2.254882,
866,2.513912,
867,2.915305,
868,2.894888,
869,3.06864,
870,5.272827,
871,,6.167418
872,,1.547375
873,,6.325614
874,,5.815332
875,,1.04626
876,,2.783637
877,,2.706275
878,,0.397504
879,,2.454467
880,,2.751692
881,,1.29279
882,,0.267919
883,,1.473625
884,,0.737229
885,,0.475004
886,,0.069167
887,,1.081399
888,,0.196113
889,,0.074584
890,,0.109723
891,,0.480282
892,,0.038611
893,,0.130001
894,,0.004306
895,,0.004306
896,,0.009861
897,,0.0
898,,0.0
899,,0.0
900,0.0,
901,0.0,
902,0.0,
903,0.0,
904,0.0,
905,0.0,
906,0.0,
907,0.0,
908,0.0,
909,0.0,
910,0.001944,
911,0.016389,
912,0.009167,
913,0.000556,
914,0.093335,
915,0.06139,
916,0.200282,
917,0.552513,
918,0.970022,
919,0.572513,
920,1.801431,
921,0.913354,
922,0.716683,
923,1.752541,
924,1.524202,
925,2.370333,
926,3.207574,
927,3.267576,
928,2.462557,
929,4.058983,
930,1.855599,
931,,4.703442
932,,6.927105
933,,5.089562
934,,2.68534
935,,0.773351
936,,1.885321
937,,3.393412
938,,4.01426
939,,0.698627
940,,0.449733
941,,0.688349
942,,2.423945
943,,0.32223
944,,1.149193
945,,0.285007
946,,0.006389
947,,0.089447
948,,0.121947
949,,0.271951
950,,0.012223
951,,0.0
952,,0.0025
953,,0.005833
954,,0.0
955,,0.0
956,,0.0
957,,0.0
958,,0.0
959,,0.0
960,0.0,
961,0.0,
962,0.0,
963,0.0,
964,0.0,
965,0.0,
966,0.0,
967,0.000278,
968,0.0,
969,0.0,
970,0.000972,
971,0.014028,
972,0.0075,
973,0.002083,
974,0.095279,
975,0.060973,
976,0.186947,
977,0.548201,
978,0.985845,
979,0.536395,
980,1.810854,
981,0.894455,
982,0.729592,
983,1.762937,
984,1.530712,
985,2.39475,
986,3.150592,
987,3.222815,
988,2.397667,
989,4.044491,
990,1.793771,
991,,4.671999
992,,6.963136
993,,4.950057
994,,2.771282
995,,0.765287
996,,1.763354
997,,3.408928
998,,4.084214
999,,0.696119
1000,,0.422644
1001,,0.667369
1002,,2.411
1003,,0.318754
1004,,1.153624
1005,,0.278059
1006,,0.014584
1007,,0.076945
1008,,0.119029
1009,,0.272086
1010,,0.012639
1011,,0.0
1012,,0.002361
1013,,0.009722
1014,,0.0
1015,,0.0
1016,,0.0
1017,,0.0
1018,,0.0
1019,,0.0
1020,0.0,
1021,0.0,
1022,0.0,
1023,0.0,
1024,0.0,
1025,0.0,
1026,0.0,
1027,0.0,
1028,0.0,
1029,0.0,
1030,0.059169,
1031,0.020556,
1032,0.017501,
1033,0.027779,
1034,0.071391,
1035,0.16195,
1036,0.641132,
1037,1.182816,
1038,0.678633,
1039,1.296709,
1040,3.038987,
1041,1.830059,
1042,3.811235,
1043,1.868672,
1044,2.897316,
1045,2.473969,
1046,3.367331,
1047,4.861824,
1048,3.66123,
1049,5.041552,
1050,2.930928,
1051,,3.26205
1052,,3.975407
1053,,4.003463
1054,,3.73401
1055,,4.101522
1056,,1.017255
1057,,2.344243
1058,,1.154204
1059,,0.961976
1060,,0.93753
1061,,0.343067
1062,,1.623108
1063,,0.468349
1064,,0.154727
1065,,0.616964
1066,,0.0
1067,,0.220285
1068,,0.008889
1069,,0.038335
1070,,0.0
1071,,0.020278
1072,,0.0
1073,,0.0
1074,,0.0
1075,,0.0
1076,,0.0
1077,,0.0
1078,,0.0
1079,,0.0
1080,0.0,
1081,0.0,
1082,0.0,
1083,0.0,
1084,0.0,
1085,0.0,
1086,0.000417,
1087,0.000694,
1088,0.000833,
1089,0.000278,
1090,0.062223,
1091,0.019722,
1092,0.016389,
1093,0.035973,
1094,0.080557,
1095,0.171113,
1096,0.621814,
1097,1.148072,
1098,0.610425,
1099,1.360436,
1100,3.035875,
1101,1.814886,
1102,3.873109,
1103,1.975861,
1104,2.910318,
1105,2.457117,
1106,3.226434,
1107,4.959374,
1108,3.668245,
1109,4.99368,
1110,3.078237,
1111,,3.281851
1112,,3.972416
1113,,4.027278
1114,,3.727552
1115,,4.080612
1116,,0.995292
1117,,2.310865
1118,,1.153488
1119,,0.896124
1120,,0.89779
1121,,0.367227
1122,,1.623217
1123,,0.448062
1124,,0.165141
1125,,0.581953
1126,,0.000417
1127,,0.210142
1128,,0.005972
1129,,0.034306
1130,,0.000833
1131,,0.016806
1132,,0.0
1133,,0.0
1134,,0.000139
1135,,0.0
1136,,0.0
1137,,0.0
1138,,0.0
1139,,0.0
1140,0.0,
1141,0.0,
1142,0.0,
1143,0.0,
1144,0.0,
1145,0.0,
1146,0.0,
1147,0.0,
1148,0.0,
1149,0.0,
1150,0.0,
1151,0.003889,
1152,0.024445,
1153,0.001667,
1154,0.143338,
1155,0.019723,
1156,0.142782,
1157,0.757802,
1158,0.142505,
1159,0.268064,
1160,0.924474,
1161,1.345877,
1162,1.958952,
1163,1.08198,
1164,1.461714,
1165,1.367267,
1166,2.459802,
1167,4.04902,
1168,4.774321,
1169,5.215447,
1170,7.336349,
1171,,4.121245
1172,,6.561324
1173,,4.4707
1174,,0.74558
1175,,3.115101
1176,,1.340877
1177,,0.294176
1178,,3.929294
1179,,1.200317
1180,,1.00531
1181,,0.609464
1182,,0.170283
1183,,0.887807
1184,,0.057224
1185,,0.739746
1186,,0.021667
1187,,0.507516
1188,,0.319455
1189,,0.025001
1190,,0.029445
1191,,0.007222
1192,,0.010278
1193,,0.0
1194,,0.0
1195,,0.001667
1196,,0.001389
1197,,0.003889
1198,,0.0
1199,,0.0
1200,0.0,
1201,0.0,
1202,0.0,
1203,0.0,
1204,0.0,
1205,0.0,
1206,0.0,
1207,0.0,
1208,0.0,
1209,0.0,
1210,0.0,
1211,0.004583,
1212,0.023056,
1213,0.004583,
1214,0.140697,
1215,0.023889,
1216,0.144169,
1217,0.760012,
1218,0.15403,
1219,0.264865,
1220,0.938904,
1221,1.339883,
1222,1.93267,
1223,1.063212,
1224,1.450996,
1225,1.366411,
1226,2.436567,
1227,4.036315,
1228,4.824662,
1229,5.21439,
1230,7.423315,
1231,,4.105483
1232,,6.684692
1233,,4.379377
1234,,0.785707
