B00, 1
B06, Trade, 237033.483, 216, B06, S01, 1
B06, Trade, 237270.750, 216, B06, S01, 1
B06, Trade, 237429.750, 216, B06, S02, 1
B06, Trade, 248480.167, 216, B06, S02, 1
B07, 100
B07, Trade, 158769.383, 116, B07, S00, 1
B07, Trade, 159445.083, 117, B07, S05, 1
B07, Trade, 160805.650, 119, B07, S00, 1
B07, Trade, 161226.433, 113, B07, S00, 1
B07, Trade, 162153.783, 116, B07, S01, 1
B07, Trade, 162659.083, 111, S04, B07, 1
B07, Trade, 163450.167, 117, B07, S01, 1
B07, Trade, 164111.850, 119, B07, S00, 1
B07, Trade, 164740.667, 113, B07, S01, 1
B07, Trade, 166610.667, 118, B07, S00, 1
B07, Trade, 169985.800, 115, B07, S00, 1
B07, Trade, 172082.150, 118, B07, S01, 1
B07, Trade, 172805.583, 157, S21, B07, 1
B07, Trade, 173292.233, 216, B07, S00, 1
B07, Trade, 173934.883, 219, B07, S04, 1
B07, Trade, 174001.250, 217, B07, S04, 1
B07, Trade, 174199.200, 216, B07, S03, 1
B07, Trade, 175393.467, 212, S04, B07, 1
B07, Trade, 178850.333, 212, B07, S01, 1
B07, Trade, 178946.267, 210, B07, S01, 1
B07, Trade, 179070.600, 215, B07, S01, 1
B07, Trade, 179576.283, 219, B07, S05, 1
B07, Trade, 179755.617, 217, B07, S01, 1
B07, Trade, 179931.150, 210, B07, S00, 1
B07, Trade, 180237.583, 215, B07, S00, 1
B07, Trade, 183683.650, 215, B07, S03, 1
B07, Trade, 184298.533, 219, B07, S00, 1
B07, Trade, 184748.383, 219, B07, S01, 1
B07, Trade, 185429.617, 217, B07, S06, 1
B07, Trade, 186729.267, 218, B07, S00, 1
B07, Trade, 188872.450, 218, B07, S01, 1
B07, Trade, 189168.183, 217, B07, S01, 1
B07, Trade, 192070.650, 218, B07, S06, 1
B07, Trade, 193086.400, 217, B07, S01, 1
B07, Trade, 195014.417, 218, B07, S06, 1
B07, Trade, 195305.383, 219, B07, S00, 1
B07, Trade, 197181.333, 219, B07, S00, 1
B07, Trade, 197678.333, 216, B07, S05, 1
B07, Trade, 198446.683, 218, B07, S05, 1
B07, Trade, 199313.917, 219, B07, S00, 1
B07, Trade, 199863.183, 219, B07, S00, 1
B07, Trade, 203293.117, 201, B07, S00, 1
B07, Trade, 203419.800, 211, B07, S00, 1
B07, Trade, 203561.667, 209, B07, S00, 1
B07, Trade, 204321.583, 208, B07, S00, 1
B07, Trade, 205050.233, 211, B07, S01, 1
B07, Trade, 205980.550, 217, B07, S01, 1
B07, Trade, 206045.483, 215, B07, S00, 1
B07, Trade, 207151.783, 201, B07, S00, 1
B07, Trade, 207662.617, 214, B07, S01, 1
B07, Trade, 208511.483, 219, B07, S05, 1
B07, Trade, 216077.150, 217, B07, S00, 1
B07, Trade, 216105.800, 218, B07, S03, 1
B07, Trade, 216349.017, 218, B07, S00, 1
B07, Trade, 216552.533, 219, B07, S00, 1
B07, Trade, 216667.850, 219, B07, S01, 1
B07, Trade, 217776.200, 219, B07, S03, 1
B07, Trade, 217794.750, 219, B07, S05, 1
B07, Trade, 217943.650, 217, B07, S00, 1
B07, Trade, 218765.100, 219, B07, S00, 1
B07, Trade, 218971.950, 218, B07, S00, 1
B07, Trade, 219056.900, 214, B07, S00, 1
B07, Trade, 220128.783, 219, B07, S02, 1
B07, Trade, 221065.033, 218, B07, S03, 1
B07, Trade, 221171.717, 218, B07, S03, 1
B07, Trade, 221239.833, 219, B07, S00, 1
B07, Trade, 221384.983, 217, B07, S04, 1
B07, Trade, 221546.983, 219, B07, S00, 1
B07, Trade, 222003.433, 219, B07, S01, 1
B07, Trade, 222192.900, 217, B07, S00, 1
B07, Trade, 222239.667, 214, B07, S01, 1
B07, Trade, 222769.483, 215, B07, S03, 1
B07, Trade, 223014.000, 217, B07, S01, 1
B07, Trade, 230483.800, 217, B07, S02, 1
B07, Trade, 231419.067, 219, B07, S00, 1
B07, Trade, 232430.467, 219, B07, S01, 1
B07, Trade, 234934.867, 217, B07, S00, 1
B07, Trade, 237659.550, 218, B07, S01, 1
B07, Trade, 237730.950, 217, B07, S00, 1
B07, Trade, 237838.067, 219, B07, S00, 1
B07, Trade, 238403.433, 219, B07, S03, 1
B07, Trade, 238945.867, 214, B07, S01, 1
B07, Trade, 239503.267, 215, B07, S04, 1
B07, Trade, 241424.767, 218, B07, S00, 1
B07, Trade, 241521.467, 218, B07, S00, 1
B07, Trade, 242703.617, 216, B07, S04, 1
B07, Trade, 243576.267, 217, B07, S00, 1
B07, Trade, 243749.300, 219, B07, S01, 1
B07, Trade, 245241.933, 218, B07, S00, 1
B07, Trade, 246229.333, 205, B07, S02, 1
B07, Trade, 247345.983, 219, B07, S00, 1
B07, Trade, 248480.383, 215, B07, S01, 1
B07, Trade, 249148.317, 219, B07, S01, 1
B07, Trade, 249696.033, 217, B07, S02, 1
B07, Trade, 249701.717, 217, B07, S01, 1
B07, Trade, 250138.817, 213, B07, S00, 1
B07, Trade, 251953.583, 211, B07, S02, 1
B07, Trade, 254123.133, 219, B07, S00, 1
B07, Trade, 256857.783, 218, B07, S01, 1
B07, Trade, 257285.767, 218, B07, S02, 1
B08, 100
B08, Trade, 235418.067, 222, B08, S00, 1
B08, Trade, 235581.850, 217, S04, B08, 1
B08, Trade, 235636.917, 218, B08, S03, 1
B08, Trade, 235649.933, 221, B08, S03, 1
B08, Trade, 235694.017, 219, B08, S00, 1
B08, Trade, 235780.750, 222, B08, S08, 1
B08, Trade, 235814.283, 221, B08, S03, 1
B08, Trade, 235843.067, 222, B08, S02, 1
B08, Trade, 235852.300, 220, B08, S00, 1
B08, Trade, 235944.983, 222, B08, S02, 1
B08, Trade, 235962.100, 218, B08, S00, 1
B08, Trade, 236079.317, 222, B08, S02, 1
B08, Trade, 236164.933, 222, B08, S00, 1
B08, Trade, 236299.983, 219, B08, S00, 1
