B00, 0
B01, 0
B02, 0
B03, 1
B07, Trade, 804378.034, 78, B07, S04, 1
B07, Trade, 804486.151, 79, B07, S00, 1
B07, Trade, 804561.084, 78, B07, S00, 1
B07, Trade, 804648.784, 78, B07, S00, 1
B07, Trade, 804674.884, 79, B07, S01, 1
B07, Trade, 804734.267, 79, B07, S00, 1
B07, Trade, 804887.001, 78, B07, S06, 1
B07, Trade, 804982.517, 77, B07, S05, 1
B07, Trade, 805087.384, 79, B07, S05, 1
B07, Trade, 805262.434, 78, B07, S02, 1
B07, Trade, 805292.551, 79, B07, S01, 1
B07, Trade, 805462.484, 79, B07, S01, 1
B07, Trade, 805564.651, 79, S06, B07, 1
B07, Trade, 805730.267, 79, B07, S04, 1
B07, Trade, 805767.267, 77, B07, S00, 1
B07, Trade, 805861.034, 79, B07, S04, 1
B07, Trade, 805907.484, 77, B07, S01, 1
B07, Trade, 806129.084, 79, B07, S04, 1
B07, Trade, 806293.617, 79, B07, S01, 1
B07, Trade, 806379.684, 79, B07, S01, 1
B07, Trade, 809658.584, 77, B07, S01, 1
B07, Trade, 810033.984, 79, B07, S01, 1
B07, Trade, 813711.884, 78, B07, S02, 1
B07, Trade, 814640.018, 78, B07, S05, 1
B07, Trade, 814690.218, 78, B07, S00, 1
B07, Trade, 814852.668, 79, B07, S04, 1
B07, Trade, 815020.018, 76, B07, S00, 1
B07, Trade, 815118.968, 79, B07, S01, 1
B07, Trade, 815520.818, 79, B07, S01, 1
B07, Trade, 815806.151, 78, B07, S01, 1
B07, Trade, 816041.934, 77, B07, S01, 1
B07, Trade, 816493.834, 79, B07, S00, 1
B07, Trade, 817350.218, 79, B07, S00, 1
B07, Trade, 817447.534, 79, B07, S02, 1
B07, Trade, 818000.584, 79, B07, S01, 1
B07, Trade, 818357.018, 75, S00, B07, 1
B07, Trade, 819564.701, 78, B07, S01, 1
B07, Trade, 820711.618, 79, B07, S04, 1
B07, Trade, 821411.168, 79, B07, S02, 1
B07, Trade, 821595.884, 79, B07, S01, 1
B07, Trade, 822091.884, 79, B07, S05, 1
B07, Trade, 822383.601, 77, B07, S00, 1
B07, Trade, 822664.168, 79, B07, S04, 1
B07, Trade, 822676.584, 78, B07, S00, 1
B07, Trade, 822844.834, 79, B07, S00, 1
B07, Trade, 822960.701, 79, B07, S01, 1
B07, Trade, 823263.718, 79, S07, B07, 1
B07, Trade, 823275.701, 79, B07, S04, 1
B07, Trade, 823278.818, 77, S03, B07, 1
B07, Trade, 823471.251, 79, B07, S02, 1
B07, Trade, 824337.968, 78, B07, S00, 1
B07, Trade, 824367.618, 74, B07, S04, 1
B07, Trade, 824401.968, 79, B07, S01, 1
B07, Trade, 824691.268, 78, B07, S00, 1
B07, Trade, 825005.568, 79, B07, S00, 1
B07, Trade, 825064.118, 79, B07, S01, 1
B07, Trade, 825269.368, 79, B07, S00, 1
B07, Trade, 825577.184, 79, B07, S01, 1
B07, Trade, 826211.634, 78, B07, S06, 1
B07, Trade, 826408.534, 79, B07, S00, 1
B07, Trade, 827038.651, 79, B07, S04, 1
B07, Trade, 827131.401, 79, B07, S02, 1
B07, Trade, 827938.434, 79, B07, S02, 1
B07, Trade, 829243.068, 76, B07, S01, 1
B07, Trade, 829790.834, 79, B07, S02, 1
B07, Trade, 833476.651, 70, S01, B07, 1
B07, Trade, 837116.284, 78, B07, S01, 1
B07, Trade, 837656.868, 72, B07, S01, 1
B07, Trade, 838714.734, 78, B07, S00, 1
B07, Trade, 839047.068, 78, B07, S01, 1
B07, Trade, 840721.284, 79, B07, S02, 1
B07, Trade, 844764.218, 78, B07, S02, 1
B07, Trade, 847093.034, 77, B07, S01, 1
B07, Trade, 847109.768, 79, B07, S00, 1
B07, Trade, 847356.168, 79, B07, S00, 1
B07, Trade, 847742.951, 77, B07, S00, 1
B07, Trade, 849626.951, 79, B07, S00, 1
B07, Trade, 851757.968, 79, B07, S01, 1
B07, Trade, 851858.301, 79, B07, S01, 1
B07, Trade, 853353.451, 79, B07, S05, 1
B07, Trade, 854232.118, 79, B07, S02, 1
B07, Trade, 855647.768, 79, B07, S00, 1
B07, Trade, 856299.201, 79, B07, S04, 1
B07, Trade, 860465.651, 79, B07, S04, 1
B08, 100
B08, Trade, 694606.317, 81, B08, S01, 1
B08, Trade, 695864.934, 82, B08, S01, 1
B08, Trade, 696806.217, 82, B08, S01, 1
B08, Trade, 696933.984, 77, B08, S02, 1
B08, Trade, 696999.334, 74, B08, S01, 1
B08, Trade, 697179.550, 81, B08, S02, 1
B08, Trade, 697633.517, 82, B08, S01, 1
B08, Trade, 699418.350, 82, B08, S01, 1
B08, Trade, 699792.867, 81, B08, S02, 1
B08, Trade, 700690.734, 82, B08, S04, 1
B08, Trade, 702058.717, 82, B08, S01, 1
B08, Trade, 702548.134, 81, B08, S01, 1
B08, Trade, 702584.550, 82, B08, S01, 1
B08, Trade, 703990.784, 77, B08, S00, 1
B08, Trade, 704171.317, 82, B08, S01, 1
B08, Trade, 705395.200, 82, B08, S01, 1
B08, Trade, 712702.801, 79, B08, S02, 1
B08, Trade, 713290.151, 82, B08, S04, 1
B08, Trade, 713484.167, 80, B08, S02, 1
B08, Trade, 715500.217, 67, B08, S01, 1
B08, Trade, 717147.834, 81, S05, B08, 1
B08, Trade, 717685.651, 82, B08, S01, 1
B08, Trade, 718702.167, 82, B08, S01, 1
B08, Trade, 719152.867, 81, B08, S01, 1
B08, Trade, 719667.317, 78, B08, S01, 1
B08, Trade, 720336.284, 81, B08, S01, 1
B08, Trade, 723981.217, 81, B08, S01, 1
B08, Trade, 727576.767, 81, B08, S06, 1
B08, Trade, 742422.767, 82, B08, S01, 1
B08, Trade, 742749.267, 82, B08, S01, 1
B08, Trade, 746257.517, 78, B08, S01, 1
B08, Trade, 746686.301, 82, B08, S00, 1
B08, Trade, 747591.917, 80, B08, S04, 1
B08, Trade, 749282.251, 81, B08, S05, 1
B08, Trade, 749653.351, 82, B08, S00, 1
B08, Trade, 750457.417, 79, B08, S04, 1
B08, Trade, 755491.034, 82, B08, S01, 1
B08, Trade, 756136.634, 81, B08, S01, 1
B08, Trade, 757259.367, 81, B08, S04, 1
B08, Trade, 760093.351, 82, B08, S00, 1
B08, Trade, 760273.917, 82, B08, S04, 1
B08, Trade, 761338.717, 81, S07, B08, 1
B08, Trade, 762118.601, 82, B08, S04, 1
B08, Trade, 764462.017, 76, B08, S01, 1
B08, Trade, 768366.734, 81, B08, S02, 1
B08, Trade, 783053.701, 82, B08, S01, 1
B08, Trade, 784826.351, 81, B08, S00, 1
B08, Trade, 787196.151, 81, B08, S01, 1
B08, Trade, 788453.701, 80, B08, S01, 1
B08, Trade, 790397.567, 82, B08, S01, 1
B08, Trade, 796542.751, 76, B08, S01, 1
